latitude,longitude,altitude,geometry,OBJECTID,COD_SIG,IDTIPO,NOME,MORADA,ATORTIPOCODIGO,EMAIL,SITE,REDESOCIAL,GlobalID
38.7055635660683,-9.18642779276701,,Point,831,0202803001003,,Centro de Saúde de Alcântara - Centro Diagnóstico Pneumológico,Calçada da Tapada,40401,geral@csalcantara.min-saude.pt,,,614e6094-a3e3-4079-b190-0825f886565b
38.740387790747,-9.172252905793,,Point,832,3907106003001,,Centro de Saúde de Sete Rios - Sao Domingos de Benfica - Furnas,Rua Padre Carlos dos Santos (antigo Troço da Rua A do Bairro das Furnas),40401,,,,42944245-1307-4dea-9d48-55a983eb1a1f
38.7767093900117,-9.15102559345838,,Point,833,1805004006008,,Centro de Saúde do Lumiar - Ext. Alto do Lumiar,Avenida David Mourão-Ferreira (antiga Rua 3do Alto do Lumiar),40401,lumiar@cslumiar.min-saude.pt,,,ab1e3d57-2302-4d4c-8056-595fdef99f94
38.7618108164712,-9.12114431951169,,Point,834,3309707026001,,Centro de Saúde dos Olivais - Ext. Catus - Saúde Pública,Avenida Cidade de Lourenço Marques (antiga Rua B da Célula B de Olivais Sul),40401,ucsp.olivais@arslvt.min-saude.pt,,,31243ec2-94ef-4ca1-9b6b-5af2c66a6594
38.7398300599074,-9.14815970359733,,Point,835,2304603027001,,Centro de Saúde da Graça - Extensão EDP (Empresas),Avenida Cinco de Outubro,40401,secretariado.aces-lo@csmarvila.min-saude.pt,,,bbac74a9-282e-42ee-95ec-206fea9dad52
38.7502190285893,-9.19432746867943,,Point,836,0803501074001,,Centro de Saúde de Benfica - Ext. Marechal Carmona,Rua Dr. José Baptista de Sousa,40401,,,,261a2e89-1c78-4c1a-9e37-3e8e74c771c7
38.7119664753967,-9.1459175149364,,Point,837,2801402008001,,Centro de Saúde de Luz Soriano - Ext. D. Pedro V,Travessa dos Fiéis de Deus,40401,luz.soriano@cslsoriano.min-saude.pt,,,493e3bbf-77b7-4694-9712-99558c81eea8
38.7104052789192,-9.16170725029607,,Point,838,1702202002001,,Centro de Saúde de Lapa - Centro de Atendimento a Adolescentes Aparece,Rua de Buenos Aires,40401,cslapa@cslapa.min-saude.pt,,,537e57c4-0034-4587-9920-f49605baa469
38.7211959978371,-9.1345060568804,,Point,839,0602705006001,,Centro de Saúde de Penha de França - Ext. Seguros ,Largo do Intendente Pina Manique,40401,,,,003c3a57-b430-4c90-bd83-d8ae5f0b590d
38.7071333973744,-9.14501261140796,,Point,840,4901014001001,,Centro de Saúde de Graça - D. Amélia - Centro Diagnóstico Pneumológico,Praça da Ribeira Nova,40401,,,,f4c3c44a-033f-43ca-a496-e221970e167a
38.7715355305306,-9.12136225079959,,Point,841,3306503096001,,Centro de Saúde dos Olivais - Extensão da Encarnação,Alameda da Encarnação,40401,,,,eff28f0b-27e7-4d37-87d5-564f85ce55bb
38.7054694816768,-9.19447062150815,,Point,842,0101801003001,,Centro da Saúde da Ajuda,Travessa das Florindas,40401,geral@csajuda.min-saude.pt,,,2ccef3d9-61b4-4ba7-a4fe-051a6027102b
38.7051412323083,-9.18614450275395,,Point,843,0202803001004,,Centro de Saúde de Alcântara - Laboratório de Pneumologia,Rua Pedro Calmon (antiga Rua Avelar Brotero),40401,,,,c03ffcec-30c0-4a49-a907-e22ca8acda0c
